term,definition
OCLAESP,Office Central de Lutte contre les Atteintes à l'Environnement et à la Santé Publique
OCLCHGCG,Office Central de Lutte contre les Crimes contre l'Humanité les Génocides et les Crimes de Guerre
OCLCIFF,Office central de lutte contre la corruption et les infractions financières et fiscales
OCLCTIC,Office central de lutte contre la criminalité liée aux technologies de l'information et de la communication
OCLDI,Office Central de Lutte contre la Délinquance Itinérante
OCLTI,Office central de lutte contre le travail illégal
OCM,Organisation commune de marché.
OCM-sucre,Organisation communautaire du marché du sucre
OCORA,Office de coopération radiophonique
OCRFM,Office Central pour la Répression du Faux-Monnayage
OCRGDF,Office Central de Répression de la Grande Délinquance Financière
OCRTIS,Office Central pour la Répression du trafic Illicite de Stupéfiants
OCRTIS,Office central pour la répression du trafic illicite des stupéfiants
OCTA,Officier du Corps Technique et Administratif
ODAS,Observatoire décentralisé de l’Action Sociale
ODEADOM,Office de développement de l'économie agricole dans les départements d'outre-mer
ODEADOM,Office de développement de l'économie agricole des départements d'Outre-mer
ODF,Orthopédie Dento-faciale
OEAP,Observatoire économique de l’achat public (A été remplacé par l'OECP en avril 2016)
OECE,Organisation européenne de coopération économique
OECP,Observatoire économique de la commande publique
OEE,Office de l'efficacité énergétique
OETH,Obligation d’Emploi de Travailleur Handicapé
OFAJ,Office franco-allemand pour la jeunesse
OFCE,Office français des conjonctures économiques
OFDT,Observatoire français des drogues et des toxicomanies
OFFI,L’office Français De L’immigration Et De L’intégration
OFFSET,Procédé d’impression à plat avec mouillage
OFII,Office français de l'immigration et de l'intégration
OFIVAL,"Office national interprofessionnel des viandes, de l'élevage et de l'aviculture"
OFPRA,Office français de protection des réfugiés et apatrides
OFQJ,Office franco-québécois pour la jeunesse
OFSH,Observatoire des Familles en Situation de Handicap
OGA,Organisation de gestion agréée
OGAF,Opération groupée d'aménagement foncier
OGCFPC,Organisme Gestionnaire Conventionnel de la Formation Professionnelle Conventionnelle (médecins)
OGM,Organismes génétiquement modifiés
OGP,Open Government Parternship
OGR,Officiers de Gendarmerie issus du Rang
OGS,Organisation grand site
OGU,Officiers de Gendarmerie issus du recrutement Universitaire
OI,Ordre Initial
OIEAU,Office international de l'eau.
OIN,Opération d'intérêt national.
OIT,Organisation internationale du travail
OLDR,Opération de Lutte contre la Délinquance Routière
OLP,Organisation de libération de la Palestine
OM,Ordures ménagères
OM,Ordre de Mission
OMA,Ordonnance de mise en accusation
OMC,Organisation mondiale du commerce.
OMC,Délégation permanente de la France auprès de l'Organisation mondiale du commerce
OMCI,Organisation maritime consultative intergouvernementale
OMEDIT,"Observatoire des Médicaments, des Dispositifs Médicaux et des Innovations Thérapeutiques"
OMI,Organisation maritime internationale.
OMI,Office des migrations internationales
OML,Obstacle Médico-Légal
OMM,Organisation météorologique mondiale.
OMO,Observation en Milieu Ouvert
OMP,Opération de maintien de la paix
OMP,Ordonnance marchés publics
OMP,Officier du Ministère Public
OMS,Organisation mondiale de la santé
ONAC,Office national des anciens combattants et victimes de guerre
ONACVG,Office national des anciens combattants et victimes de guerre
ONCF,"Objectif, Nature, Consommation et débit, Feu !"
ONCFS,Office national de la chasse et de la faune sauvage
ONDAM,Objectif national des dépenses d'assurance maladie
ONDPS,Observatoire national des professions de santé
ONDPS,Observatoire national de la démographie des professions de santé
ONDRP,Observatoire national de la délinquance et des réponses pénales
ONDT,Observatoire national de la délinquance dans les transports
ONEMA,Office national de l'eau et des milieux aquatiques
ONERA,Office national d'études et de recherches aérospatiales
ONERC,Observatoire national sur les effets du réchauffement climatique
ONF,Office national des forêts
ONFRIH,Observatoire National sur la Formation la Recherche et l’Innovation sur le Handicap.
ONG,Organisations non gouvernementales
ONI,Office national de l'immigration
ONIAM,"Office national d'indemnisation des accidents médicaux, des affections iatrogènes et des infections nosocomiales"
ONIC,Office national interprofessionnel des céréales
ONIFLHOR,"Office national interprofessionnel des fruits, des légumes et de l'horticulture"
ONIGC,Office national interprofessionnel des grandes cultures
ONILAIT,Office national interprofessionnel du lait et des produits laitiers
ONIPPAM,"Office national interprofessionnel des plantes à parfum, aromatiques et médicinales"
ONIRIS,"École nationale vétérinaire, agroalimentaire et de l'alimentation Nantes-Atlantique"
ONISEP,Office national d'information sur les enseignements et les professions
ONISR,Observatoire national interministériel de la sécurité routière.
ONIVINS,Office national interprofessionnel des vins
ONPES,Observatoire national des politiques de lutte contre la pauvreté et l’exclusion sociale
ONPES,Observatoire national de la pauvreté et de l'exclusion sociale
ONPV,Observatoire national de la politique de la ville
ONSER,Organisation nationale pour la sécurité routière
ONT,Observatoire national du tourisme
ONU,Organisation des Nations unies
ONUDI,Organisation des Nations unies pour le développement industriel
ONZH,Observatoire national des zones humides
ONZUS,Observatoire national des zones urbaines sensibles
OP,Ordonnance pénale
OPA,Offres publiques d'achat
OPAC,Office public d'aménagement et de construction
OPACIF,Organisme paritaire agréé au titre du congé individuel de formation
OPAH,Opération programmée d'amélioration de l'habitat
OPC,"Ordonnancement, Pilotage et Coordination"
OPCA,Organismes Paritaires Consultatifs Agréés
OPCAREG,Organismes paritaires collecteurs agréés régionaux
OPCVM,Organismes de placements collectifs en valeur mobilière
OPDHLM,Office public départemental d'habitation à loyer modéré.
OPECST,Office parlementaire d'évaluation des choix scientifiques et technologiques
OPEP,Organisation des pays exportateurs de pétrole
OPEPS,Office parlementaire d’évaluation des politiques de santé
OPERA,Observatoire permanent de la radioactivité et de l'environnement
OPEX,Opérations extérieures
OPEX,OPération EXtérieure
OPH,Office public de l’habitat
OPHLM,Office public de l’habitat à loyer modéré
OPJ,Officier de police judiciaire
OPJ,Officier de Police Judiciaire ou Opération de Police Judiciaire
OPM,Officier public et ministériel
OPOCE,Ex-Office des publications officielles des Communautés européennes (remplacé par l'OPOUE)
OPOUE,Office des publications officielles des Communautés européennes
OPP,ordonance de Placement Provisoire
OPP,Officier Prévention-Partenariats
OPPBTP,Organisme professionnel de prévention du bâtiment et des travaux publics
OPPIC,Opérateur du patrimoine et des projets immobiliers de la culture
OPRI,Office de protection contre les rayonnements ionisants
OQOS,Objectifs Quantifiés de l’Offre de Soins
OQTF,Obligation de Quitter le Territoire Français
ORC,Opération Répressive Centralisée
ORE,Offre raisonnable d'emploi
ORGANIC,(Caisse de compensation de l') Organisation autonome nationale d'assurance vieillesse de l'industrie et du commerce
ORGFH,Orientations régionales de gestion de la faune sauvage et de ses habitats
ORL,Oto-Rhino-Laryngologie
ORS,Observatoire régional pour la santé
ORSEC,Organisation des secours (Plan)
ORSEC,ORganisation des SECours
ORSECRAD,Plan ORSEC radiations
ORSECTOX,Plan ORSEC matières toxiques
ORSTOM,Office de la recherche scientifique et technique d'outre-mer
ORT,Obligations renouvelables du Trésor
ORT,Opération de revitalisation de territoire
ORTC,Ordonnance de renvoi devant le Tribunal correctionnel.
ORU,Opération de renouvellement urbain.
OS,Ordre de Service
OS,Ordre Serré
OSCE,Organisation pour la sécurité et la coopération en Europe
OSE,Organisation des services de l'état.
OSEO,OSEO Banque de développement des petites et moyennes entreprises (OSEO BDPME) - Ex CEPME
OSIC,Officier des Systèmes de l'Information et de la Communication
OSIRIS,Outil et Système d'Information Relatif aux Infractions liées aux Stupéfiants
OSV,Observatoire de la santé des vétérans
OT,Observateur Tireur
OTAN,Organisation du traité de l'Atlantique-Nord
OTASE,Organisation du traité de défense collective pour l'Asie du Sud-Est
OUA,Organisation de l'unité africaine
OV,Objet de Vérification
OVBI,Objets Volés Bien Identifiés
OVVV,Opération Ville Vie Vacances
P4S,Prévision à 4 Semaines
PA,Pouvoir adjudicateur
PA,Pistolet Automatique ou Peloton d'Autoroute ou Police Administrative ou Point d'Accueil
PAC,Politique agricole commune
PAC,Poste À Cheval
PACEA,Parcours contractualisé d’accompagnement vers l’emploi et l’autonomie
PACES,Première Année Commune des Etudes de Santé (nommée aussi L1 Santé)
PACS,Pacte civil de solidarité
PACT,"Protection, amélioration, conservation, transformation de l’habitat"
PACT-ARIM,Propagande et action contre le taudis. Associations de restauration immobilière
PACTE,"Parcours d'Accès aux Carrières de la fonction publique territoriale, hospitalière et de l'État"
PADA,Plateforme D’accueil Des Demandeurs D’asile
PADD,Projet d'aménagement et de développement durable
PADDUC,Plan d'aménagement et de développement durable de la Corse
PAE,Programme d'aménagement d'ensemble.
PAE,Projet d’Action Educative
PAE,Pédagogie Appliquée aux Emplois
PAEJ,Points Accueil Et Écoute Jeunes
PAF,Police aux frontières
PAF,Police de l'Air et des Frontières
PAF,Programme d'action foncière.
PAGRE,Plan d'Adaptation du Grade aux Responsabilités Exercées
PAH,Prime à l'amélioration de l'habitat
PAI,Projet d’accueil individualisé
PAIO,"Permanences d'accueil, d'information et d'orientation"
PAJ,Point d’accueil jeunes
PAJE,Prestation d'accueil du jeune enfant
PAL,Plan d’aide à la lecture
PALME,Programme d'activité labellisé pour la maîtrise de l'environnement
PALULOS,Prime à l'amélioration des logements à usage locatif et à occupation sociale
PAM,"Premiers À Marcher ou Personnel, Armement, Matériel ou Plan Annuel de Mutation"
PAO,Publication assistée par ordinateur
PAP,Plan D’action Personnalisé
PAP,Prêt d'accession à la propriété
PAP,Programme d'action prioritaire
PAP,Projet annuel de performance
PAP,Projet d’aide personnalisé
PAP,Projet Annuel de Performances
PAPA,Préservation de l’Autonomie des personnes Âgées
PAPH,Pôle Personnes âgées / Personnes Handicapées
PAPI,Programme d'action et de prévention des inondations.
PAPIR,Programme d'action prioritaire d'initiative régionale
PAPU,Plan D’action Personnalisé D’urgence
PAQ,Plan d'Assurance Qualité
PAR,Plans d'aménagement ruraux
PARADS,Pôle d’Accueil en Réseau pour l’Accès aux Droits Sociaux (voir aussi UNCCAS
PARE,Plan d'aide au retour à l'emploi
PARM,Permanencier Auxiliaire de Régulation Médicale
PAS,Prêt d’Accession Sociale
PASA,Pôles d’Activités et de Soins Adaptés
PASED,Projet d’action stratégique de l’État en département (LOLF)
PASER,Projet d’action stratégique de l’État en région (LOLF)
PASS,Permanence d’accès aux soins de santé
PAT,Prime d'aménagement du territoire
PATRACDVR,"Personnels, Armement, Tenue, Radio, Alimentation, Camouflage, Divers, Véhicules, Rassemblement"
PAVI,Point d’Appui à la Vie Associative
PAZ,Plan d'aménagement de zone.
PC,Permis de construire.
PC,Prêt Conventionné
PC,Partie civile.
PCA,Plan Construction et Architecture
PCE,Prêt à la création d'entreprise
PCE,Projet environnemental commun.
PCH,Prestation de compensation du handicap
PCI,Plan Cadastral Informatisé
PCL,Prêt Conventionné Locatif
PCMR,Pensions civile et militaire de retraite
PCN,Procédure Concurrentielle avec Négociation
PCO,Poste de Commandement Opérationnel
PCP,Politique communautaire de la pêche
PCQP,Petit Carnet Qui Pue
PCRP,Personne chargée de la radio protection
PCRS,"Plan Corps de Rue Simplifié. Plan 2D/3D très grande échelle de la voirie et de l’espace public. Modélise trottoirs et leur hauteur, accès réseaux enterrés, pistes, mobilier urbain et bâtiments."
PCS,Plan de cohésion sociale.
PCS,Profession et catégorie socioprofessionnelle
PCT,Projet culturel de territoire
PDAHI,Plans Départementaux d’Accueil d’Hébergement et d’Insertion (voir aussi SIAO)
PDALPD,Plan départemental d'action pour le logement des personnes défavorisées
PDC,Procédure de Dialogue Compétitif
PDD,Plan de déplacement durable.
PDEMA,Plan départemental d'élimination des déchets ménagers et assimilés
PDF,Portable document format.
PDH,Plan départemental de l'habitat
PDI,Programme départemental d’insertion
PDITH,Programme Ddépartemental d’Insertion des Travailleurs Handicapés
PDL,Plan départemental du Logement
PDR,Programme de développement rural.
PDS,Permanence Des Soins
PDU,Plan de développement urbain
PDU,Plan de Déplacements Urbains
PDZ,Plan de déplacement de zone.
PDZR,Programme de déplacement des zones rurales.
PE,Parlement européen.
PE,Pôle emploi
PE,Projet d’Établissement
PEA,Plans d’épargne en actions
PEB,Plan d'exposition au bruit.
PEC,Prise En Charge
PEC,Parcours emploi compétences
PED,Plan local de déplacement
PEDA,"Perception, Évaluation, Décision, Action"
PEE,Plan d'épargne d'entreprise
PEEC,Participation des employeurs à l'effort de construction
PEGC,Professeur d'enseignement général de collège
PEI,Projet Éducatif Individualisé
PEL,Plans d’épargne logement
PELG,Pilote d'Embarcation Légère de la Gendarmerie
PEO,Procédure évaluation orientation
PEP,Plans d'épargne populaire
PEP,Pupilles de l’Enseignement Public
PEPITE,"Pôles Etudiants Pour l'Innovation, le Transfert et l'Entrepreneuriat"
PEPS,professeurs d’éducation physique et sportive
PER,Plans d'exposition aux risques.
PER,Plan d’épargne retraite
PERCO,Plan d'épargne pour la retraite collectif
PERNP,Plan d'exposition aux risques naturels prévisibles.
PERP,Plan d'épargne retraite populaire
PES,Point d'Entrée-Sortie
PESD,Politique européenne de sécurité et de défense
PETR,Pôle d'équilibre territorial et rural
PEU,Point d'Entrée Unique
PF,Protection Fonctionnelle
PFD,Programme Fonctionnel Détaillé
PFE,Projet De Fin D’étude
PFR,Prime de Fonctions et de Résultats
PFS,Placement familial spécialisé
PFUE,Présidence française de l'Union Européenne
PG,Procureur général.
PGD,Prestation de Garde à Domicile.
PGE,Prét garantit par l'Etat
PGHM,Peloton de Gendarmerie de Haute Montagne
PGI,Progiciel de Gestion Intégré
PGM,Peloton de Gendarmerie en Montagne
PGO,Partenariat pour un Gouvernement Ouvert (OGP en anglais)
PGS,Plan de gêne sonore.
PH,Praticien Hospitalier
PHEC,Plus hautes eaux connues.
PHISP,Pharmacien inspecteur de la Santé Publique
PHP,Hypertext Preprocessor
PHR,Peloton Hors Rang
PHRC,Programme hospitalier de recherche clinique
PI,Prestations Intellectuelles
PI,Profession intermédiaire
PI,Projet Individualisé
PI,Peloton d'Intervention
PI2G,Peloton d'Intervention de 2e Génération
PIA,Programme d'Investissements d'Avenir
PIAC,Plate-forme d'Identification des Avoirs Criminels
PIAHPA,Programmes Interdépartementaux d’Accompagnement des Handicaps et la Perte d’Autonomie
PIB,Production intérieure brute ou produit intérieur brut
PIC,Programme d’initiative communautaire
PICS,Programme ingénieurs et cadres supérieurs
PIDA,Plan d'intervention pour le déclenchement des avalanches
PIE,Pistolet à Impulsions Électriques
PIF,Points Info Famille
PIF,Presidential Innovation Fellows
PIF,Programme Individualisé de Formation
PIG,Projets d'intérêt général
PII,Plan d'intervention interne.
PIIS,projet individuel d’intégration scolaire
PIJ,Points d’information jeunesse
PIL,Programme d'insertion locale
PIM,Programmes intégrés méditerranéens
PIN,Programme d’initiative nationale>
PISA,Programme international de suivi des acquis
PJ,Police Judiciaire
PJGN,Pôle Judiciaire de la Gendarmerie Nationale
PJJ,Protection judiciaire de la jeunesse
PL,Poids Lourd
PLA,Prêt locatif aidé
PLACE,Plateforme des achats de l'État
PLAI,Prêt locatif aidé d'intégration
PLAJ,Projets locaux d'animation jeunesse
PLAN ORSEC,Plan d'organisation des secours
PLAS,Projets locaux d'animation sportive
PLATS,Prêt Locatif Aidé Très Social
PLD,Plafond légal de densité
PLDS,Plan local de développement social
PLE,Programmes locaux pour l’enfance
PLF,Projet de loi de finances
PLFSS,Projet de loi de financement de la Sécurité sociale
PLH,Programme local de l'habitat
PLI,Plan local d’insertion
PLI,Prêt locatif intermédiaire
PLI,Programme local d'installation.
PLIE,Plan local d’insertion par l’économique
PLIF,Programme local d’insertion des femmes isolées
PLIR,Plan de Lutte contre l'Insécurité Routière
PLOUF,Projet de loi d'orientation urbaine et foncière.
PLR,Programmes de logements à loyer réduit
PLS,Prêt locatif social
PLU,Plan local d'urbanisme
PLUS,Prêt locatif à usage social
PM,Premier Ministre
PM,Projet Médical
PM,Police Municipale ou Pistolet-Mitrailleur
PM(S)G,Préparation Militaire (Supérieure) Gendarmerie
PMA,Pays moins avancés
PMD,Psychose Maniaco-Dépresive
PME,Petites et moyennes entreprises
PMF,Personnel Militaire Féminin
PMI,Petites et moyennes industries.
PMI,Protection maternelle et infantile
PMIPDN,Périodes Militaires d'Initiation ou de Perfectionnement à la Défense Nationale
PMO,Prélèvement multi-organes
PMO,Peloton MOtorisé
PMPOA,Programme de maîtrise des pollutions d'origine agricole
PMS,Préparation militaire supérieure
PMSI,Programme de médicalisation des systèmes d'information
PMSMP,Période de Mise en Situation en Milieu Professionnel
PMT,Projet Médical de Territoire
PMU,Pari mutuel urbain
PMV,Panneau à Message Variable
PN,Parc National.
PN,Police Nationale
PNAAPD,Plan National d’Action pour des Achats Publics Durables
PNAEE,Programme national d'aménagement de l'efficacité énergétique.
PNAQ,Plan national d'allocations de quotas
PNAT,Parquet national antiterroriste
PNB,Produit national brut
PNDS,Portail National des Droits sociaux
PNDS,Protocole national de diagnostic et de soins
PNE,Plateforme Numérique de l’état
PNL,Programmation Neuro-Linguistique
PNMR,Plan national maladies rares
PNN,Produit national net.
PNNS,Plan National Nutrition Santé
PNR,Parc naturel régional
PNRU,Programme national de rénovation urbaine
PNU,Programme national d'intégration urbaine.
PNUD,Programme des Nations unies pour le développement
PNUE,Programme des Nations unies pour l'environnement
PNVASA,"Position, Nature, Volume, Attitude, Substances psychoactives absorbées, Armement"
PO,Product Owner
PO,Programme opérationnel
POA,Prime d'orientation agricole
POI,Plan d'occupation interne.
POI,Plan d'Opération Interne
POLMAR,Plan ORSEC pollution marine
POPS,Protocole d’Occupation du Patrimoine Social
POS,Plan d'occupation des sols
POS,Procédure Opératoire Standard
POSEIDOM,Programme d'options spécifiques à l'éloignement et l'insularité des départements d'outre-mer
PPA,Plan de protection de l'atmosphère
PPAE,Projet personnalisé d'accès à l'emploi
PPC,Projet Personnalisé de Compensation
PPE,Programmes prioritaires d'exécution
PPESV,Plan partenarial d'épargne salariale volontaire
PPESVR,Plan partenarial d'épargne salariale volontaire pour la retraite
PPH,Préparateur En Pharmacie Hospitalière
PPI,Plan particulier d'intervention
PPI,Plan pluriannuel d’investissements
PPI,Provision des investissements
PPI,Plan Particulier d'Intervention ou Parties Prenantes Individuelles
PPM,Président du Personnel Militaire
PPMS,Plan particulier de mise en sûreté face aux risques majeurs
PPNG,Plan Préféctures Nouvelle Génération
PPP,Partenariat public privé
PPP,Préfecture de Police de Paris
PPR,Plan de prévention des risques
PPRE,Programme personnalisé de réussite éducative
PPRI,Plan de prévention des risques d'inondation.
PPRIF,Plan de prévention des risques incendie de forêt.
PPRN,Plan de prévention des risques naturels
PPRNP,Plan de prévention des risques naturels prévisibles.
PPRR,Programme de Prévention du Risque Routier
PPRT,Plan de prévention des risques technologiques
PPS,Prêts participatifs simplifiés
PPS,Projet Personnalisé De Scolarisation
PPSPS,Plan Particulier de Sécurité et de Protection de la Santé
PPTH,Prospecteur placier pour travailleur handicapé
PPU,Parc public urbain.
PQE,Programmes de qualité et d'efficience
PR,Président de la République
PR,Procureur de la République
PRA,Plan de reprise d'activité
PRALD,Plan régional pour le logement des personnes défavorisées (Ile de France)
PRAPS,Programme Régional d’Accès a la Prévention et aux Soins
PRDC,Programme de développement coordonné.
PRDE,Plan régional de développement économique
PRDF,Plan régional de développement des formations.
PRDF,Programme régional de développement des formations professionnelles des jeunes
PRDFP,Plan régional de développement des formations professionnelles
PRDFPJ,Plan régional de développement des formations professionnelles des jeunes ou PRDF
PRE,Point de prévention des évacuations
PRE,Prêt à la reprise d'entreprise
PRE,Programme de Réussite Éducative
PRE,Prime de Résultats Exceptionnels
PREBAT,Programme de recherche sur l'Énergie dans le bâtiment.
PRECAM,Programme Régional Commun de l’Assurance Maladie
PREDAMA,Plan régional d'élimination des déchets autres que ménagers et assimilés
PREDD,Plan Régional d’Élimination des Déchets Dangereux
PREDI,Plan régional d'élimination des déchets industriels.
PREDIS,Plan régional d'élimination des déchets industriels spéciaux.
PREDIT,Programme de recherche et de développement pour l'innovation et la technologie dans les transports terrestres
PREFON,caisse nationale de Prévoyance de la Fonction Publique
PREJ,Programme régional pour l’emploi des jeunes
PRES,Pôles de recherche et d'enseignement supérieur
PRF,Programme régional de formation professionnelle ou PRAFP
PRI,Programme de Résorption de l’habitat Insalubre
PRI,Portrait Robot Informatisé
PRIAC,PRogramme Interdépartemental d’ACcompagnement des handicaps et de la perte d’autonomie
PRIM,Prévention des risques majeurs.
PRIS,Politique de Référencement Intersectoriel de Sécurité [dématérialisation des procédures]
PRISME,"Professionnels De l’Intérim, Services Et Métiers De l’Emploi"
PRM,Personne Responsable du Marché
PRO,Etudes de projet
PRP,Préretraite Progressive
PRQA,Plan régional de la qualité de l'air.
PRS,Projet Régional De Santé
PRSP,Plan (ou Programme) Régional de Santé Publique
PRST,Plan régional de Santé au Travail
PRT,Pré Retraite Totale
PRU,Projet de renouvellement urbain.
PS,Professionnels de Santé
PSA,Pistolet Semi Automatique
PSAM,Prestation spéciale assistante maternelle
PSC1,Prévention et secours civiques niveau 1
PSC1,Prévention et Secours Civiques de niveau 1
PSCE,Prestataire de services de certification électronique [dématérialisation des procédures]
PSD,Prestations spécifique dépendance
PSD,Prêt Spécial Différé
PSE,Placement sous surveillance électronique
PSE,Prestations supplémentaires éventuelles
PSE,Premiers Secours en Équipe
PSE 1,Premiers secours en équipe niveau 1
PSE 2,Premiers secours en équipe niveau 2
PSEM,Placement sous surveillance électronique mobile
PSF,Pharmaciens sans frontières
PSI,Plan de Soins Infirmiers
PSI,Prélèvement à la source pour les indépendants
PSI,Prêt Spécial Immédiat
PSI,"Psychologie, Soutien, Intervention"
PSIC,Peloton de Surveillance et d'Intervention à Cheval
PSIG,Peloton de surveillance et d'intervention de la gendarmerie
PSIG,Peloton de Surveillance et d'Intervention de Gendarmerie
PSL,Produits Sanguins Labiles
PSLA,Prêt social de location-accession
PSMV,Plan de sauvegarde et de mise en valeur.
PSO,Plan Sécurité Opérateur
PSOM,Point de Situation Opérationnel Hebdomadaire
PSOM,Point de Situation Opérationnel Mensuel
PSOP,Paiement sans ordonnancement préalable
PSP,Score de poids sur la santé publique
PSPG,Peloton Spécialisé de Protection de la Gendarmerie
PSPH,Participant au Service Public Hospitalier (Voir aussi ESPIC dans le cadre de la loi HPST )
PSR,Programmes sociaux de relogement
PSRS,Plan Stratégique Régional De Santé
PSS,Plan des surfaces submersibles.
PSS,Programme Social Spécial
PST,Programme Social Thématique
PSU,Plan sommaire d'urbanisme.
PTAC,Poids total autorisé en charge.
PTCE,Pôle territorial de coopération économique
PTE,"Postes, télécommunications et espace"
PTI,Pacte Territoriale D’insertion
PTM,Prévention Technique de la Malveillance
PTNCP,Plan de transformation numérique de la commande publique
PTOM,Pays et territoires d'outre-mer
PTS,Police technique et scientifique
PTT,"Postes, télégraphe et télécommunications"
PTZ,Prêt à taux zéro
PU-PH,Professeur des universités - praticien hospitalier
PUC,Plan d'urbanisme communal.
PUCE,Programme d'urgence des communautés européennes.
PUD,Plan d'urbanisme directeur.
PUI,Plan d'urgence interne
PUPH,Professeur des Universités Praticien Hospitalier
PUV,Petite Unité De Vie
PV,Procès-verbal
PV(E),Procès Verbal (Électronique)
PVC,Polychlorure de vinyle.
PVD,Pays en voie de développement
PVR,Participation pour voirie et réseaux
PVRA,Procès Verbal de Renseignement Administratif
PZEA,Plan de zone exposées aux avalanches
PZSIF,Plan de zones sensibles aux incendies de fôret.
QCM,Question (ou Questionnaire) à Choix Multiples
QD,Quartier disciplinaire.
QE,Question écrite
QE,Quotient Emotionnel
QEE,Question Ecrite Européenne
QF,Quotient familial
QHS,Quartiers de haute sécurité
QI,Quotient intellectuel
QI,Quartier d’isolement.
QL,Quartier Libre
QO,Question Orale
QP,Question parlementaire
QPC,Question prioritaire de constitutionnalité
QPV,Quartiers prioritaires pour la politique de la ville
RA,Renseignement Administratif
RAAE,Recueil des actes administratifs de l'état.
RABC,Risk analysis and bio contamination control (analyse et traitement des points critiques)
RAD,Retour à Domicile
RAEP,Reconnaissance des Acquis de l'Expérience Professionnelle
RAESP,Référent Atteintes à l'Environnement et à la Sécurité Publique
RAFP,Régime additionnel de la fonction publique
RAIL,Réseau d’accueil et d’insertion par le logement
RAO,Rapport d'Analyse des Offres
RAP,Rapport annuel de performance
RAPAPLA,Rachat d’un PAP par l’utilisation du livret A
RAPS,Réseau d'appui aux personnes et aux structures
RAQPA,Résidence D’accueil De Quartier Pour Personnes âgées
RAR,Réseau Ambition Réussite
RAS,Réseau d’Aides Spécialisées
RASED,Réseaux d'aides spécialisées aux élèves en difficulté
RATP,Régie autonome des transports parisiens
RAZ,Règlement d'aménagement de zone.
RBE,Résultat brut d'exploitation
RBPP,Recommandations De Bonnes Pratiques Professionnelles (édité par l’ANESM)
RC,Release Candidate
RC,Ressource Complémentaire
RC/RPC,Règlement de la consultation (ou RPC : Règlement Particulier de la Consultation) -
RCA,Revenu Contractualisé D’autonomie
RCB,Rationalisation des choix budgétaires
RCB,Réunion des Commandants de Brigade
RCC,Réunion des Commandants de Compagnie
RCI,Relevé de Compte Individuel
RCP,Réunions de Concertation Pluridisciplinaire ( oncologie )
RD,Route départementale.
RDAM,Règlement départemental d’aide médicale
RDAS,Règlement départemental d’aide sociale
RDK,Relevé DECAdactylaire
RDR,Règlement de développement rural.
RDS,Remboursement de la dette sociale
RE,Ressource Employée
REAAP,"RESEAU D’ECOUTE, D’APPUI ET D’ACCOMPAGNEMENT DES PARENTS"
REAP,Recensement économique de l'achat public
REFIOM,Résidus d'épuration des fumées d'incinérateur d'ordures ménagères
RENASS,Réseau national de surveillance sismique
REP,Réseau d’Éducation Prioritaire
REP+,Réseau d’éducation prioritaire renforcée
RER,Réseau express régional
RES,Rachat d'une entreprise par ses salariés
RES,Réseau d’échange de savoir
RESAA,Réseau Addictologie Allier
RESE,Réseau d’Echange en Santé Environnement
RESP,Réseau d'Écoute et de Solidarité de proximité
RETEX,RETour sur EXpérience
REUNISAF,Réseau De Prévention Du Syndrome D’alcoolisation Fœtal (réseau Saf à La Réunion)
RFF,Réseau ferré de France
RFF,Rémunération de Fin de Formation
RFI,Radio France internationale
RFO,Société nationale de radiotélévision française d'outre-mer
RFP,Régie française de publicité
RFPE,Rémunération des formations de Pôle emploi
RG,Renseignements Générauxou Région de Gendarmerie
RGAA,Référentiel général d’accessibilité
RGC,Routes à Grande Circulation
RGCC,Révision Générale du Contenu des Concours
RGE,Référentiel à Grande Echelle de l'IGN
RGI,Référentiel général d'interopérabilité
RGPC,Région de Gendarmerie Poitou-Charente
RGPD,Règlement Général sur la Protection des Données
RGPP,Révision générale des politiques publiques
RGS,Référentiel Général de Sécurité
RGU,Règlement général d'urbanisme
RH,Ressources Humaines
RHI,Résorption de l’Habitat Insalubre
RIAP,Relevé Individuel d’Activité et de Prescription
RIB,Relevé d'identité bancaire.
RIC,Réferendum d'Initiative Citoyenne
RIE,Réseau Internet de l'État
RIF,Registre international français
RIM,Réunion Interministérielle
RIMBAUD,Réseau InterMinistériel de BAse Uniformément Durci
RIME,Répertoire Interministériel des Métiers
RIP,Répéteur Indépendant Portable
RIS,Recueil d’Information Standard
RJT,Residence Jeunes Travailleurs
RLJC,Réservistes Locaux à la Jeunesse et à la Citoyenneté
RM,Réserve Ministérielle
RMA,Revenu minimum d'activité
RMI,Revenu minimum d'insertion
RMN,Résonance magnétique nucléaire
RMN,Réunion des musées nationaux
RMN,Résonance magnétique nucléaire.
RMP,Revue des Marchés Publics
RMPP,Rémunération moyenne des personnes en place
RN,Route nationale.
RNA,Répertoire National des Associations
RNCP,Répertoire National Des Certifications Professionnelles
RNCPS,Répertoire National Commun de la Protection Sociale
RNCS,Registre national du Commerce et des Sociétés
RNIPP,Répertoire National d'Identification des Personnes Physiques
RNIS,Réseau numérique à intégration de services
RNU,Règlement national d'urbanisme.
RO,Rétablissement de l'Ordre
RO1(2),Réserve Opérationnelle de premier (deuxième) niveau
ROC,Reconnaissance optique de caractères.
ROG,répertoire officiel des génériques
ROME,Répertoire Opérationnel des Métiers et des Emplois
ROR,Rougeole Oreillons Rubéole (vaccin)
ROTI,Return On Time Invested
RP,Relation Presse
RP,Responsable de programme (LOLF)
RP,Rétablissement personnel
